	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CNNM2	536.411390880254	3.27359064525413	0.283576480573015	11.5439427086452	7.92094792370859e-31	1.07891231668835e-26
B3GAT2	205.189794888998	5.07381121732279	0.454153222949503	11.1720251248485	5.58918406105905e-29	3.80651380478426e-25
PIGF	1052.03788811889	4.43873921856694	0.404192093179254	10.9817566782495	4.67738536893704e-28	2.12368887034305e-24
SNX22	336.293779279079	4.92556771660507	0.456924574094216	10.7798266844572	4.2869272440052e-27	1.45980589976487e-23
TYMS	305.933254555317	5.16414891572396	0.483847121358496	10.6731004231762	1.36010849578926e-26	3.26050160146853e-23
ATP6V1C2	306.433246606355	6.23604552878218	0.584554004297523	10.6680400492273	1.43623886710309e-26	3.26050160146853e-23
MME	190.563832265369	3.80867218011132	0.358275762510493	10.6305605308698	2.14817444727972e-26	4.18004059234245e-23
ART3	1322.60675402995	-5.92393777593706	0.569121670230666	-10.4089126909121	2.25785662648386e-25	3.84428313866709e-22
DNAAF3	171.521469666219	3.71709829799068	0.379530238381882	9.79394504595586	1.19538708433697e-22	1.80915194175043e-19
TNK2	866.726195269359	-2.87045828257308	0.293593862123152	-9.77696966079294	1.41380159496271e-22	1.86601466225644e-19
FAM156B	398.882937240285	-8.40449348562612	0.860190045742387	-9.77050772352594	1.50694965750098e-22	1.86601466225644e-19
SAMD14	465.191268850133	6.12137269920709	0.634494523341104	9.64763677860185	5.0301536989341e-22	5.70964362776511e-19
HLA-DQA1	189.680126517058	3.60220814713329	0.378926359823044	9.50635408108187	1.97462063892249e-21	2.06894674790486e-18
PLXNB1	911.314629582848	-2.54509858117226	0.270507975591727	-9.40858980444089	5.02837738036701e-21	4.89225202128422e-18
ARHGEF39	128.075957964166	5.23911314727754	0.573885808354312	9.12919098365813	6.90130796848227e-20	6.2668477225798e-17
MYBL1	216.331893775974	4.08298628211095	0.448795295141405	9.09765838972197	9.23002897950029e-20	7.85763904561084e-17
MEST	377.182494929556	2.76846177948022	0.305614689011134	9.05866726641324	1.32054099111316e-19	1.05806404940896e-16
NKAIN3	239.729232865288	2.88654805836695	0.319346393180614	9.03892487908699	1.58220239979691e-19	1.19728771597965e-16
VTN	409.296398028952	3.47086912257066	0.384625130540122	9.02403105511223	1.81292576848429e-19	1.24891139078314e-16
DAB2	1200.20158216429	2.42394849382508	0.268647717028318	9.02277719177332	1.83380279095976e-19	1.24891139078314e-16
FAM111B	100.249027194892	3.87099311982235	0.448311944675708	8.63459732847956	5.89342652243984e-18	3.82258869819776e-15
ADGRL3	274.337936923192	3.53868636596531	0.412022746360945	8.58857040592926	8.80581041846972e-18	5.45199744136255e-15
OR1I1	190.19702606917	4.18419066805161	0.488553173884767	8.56445294333204	1.08590169478872e-17	6.43089868900744e-15
MRC1	178.721677620917	3.35132796227527	0.394204790337333	8.50148969373874	1.87172998551848e-17	1.06228475553113e-14
POLR3H	1288.86710911191	2.9938313671352	0.352377141233939	8.4960998226262	1.96067396678484e-17	1.06825360406305e-14
ANLN	96.2255221698748	4.32272443885	0.518987026616712	8.3291570254269	8.14200144243759e-17	4.2654692941324e-14
IQGAP2	221.63850213027	2.97921759182629	0.35801594110335	8.32146630858056	8.68817150240231e-17	4.38302163089711e-14
CCDC152	1084.27816905682	7.05726649774801	0.864289598210936	8.1653956178073	3.20383471978142e-16	1.5585511685051e-13
ECI1	2225.10955154098	-2.12058676703773	0.260978040735443	-8.12553715654337	4.45385521951075e-16	2.09192972223986e-13
PTPRC	177.259258681826	2.98407238176835	0.369722076825339	8.07112306463122	6.96544648432609e-16	3.16254488543352e-13
E2F1	114.058403369003	3.11710324795381	0.389067354593014	8.0117316735928	1.13104427659539e-15	4.96966261016315e-13
MAMDC4	342.290316608682	-2.81033863719981	0.351334086096573	-7.99904919110901	1.25383623429447e-15	5.33703229603907e-13
MPEG1	467.064921655745	3.4882367571517	0.438395155328592	7.95683235718504	1.76499596067586e-15	7.28515453950482e-13
SUPT20HL2	414.004127750422	3.53732413382721	0.447635063351956	7.90224989825243	2.73913557778192e-15	1.0973460501461e-12
SPP1	213.680762224501	3.24765858366908	0.413266299697566	7.8585129879832	3.88720422297299e-15	1.51278882060329e-12
ZNF367	524.679183796818	4.31080329865593	0.550819917524303	7.82615726394049	5.03008057933582e-15	1.86289955786761e-12
CDC6	90.4659235801453	4.82712363583255	0.616853112143311	7.82540209460933	5.06036881588002e-15	1.86289955786761e-12
